name;link
Xadrez Verbal Podcast #289 – Oriente Médio, Pacífico e Bucha ;https://xadrezverbal.com/2022/04/09/xadrez-verbal-podcast-289-oriente-medio-pacifico-e-bucha/
Xadrez Verbal Podcast #288 – Ucrânia, eleições e Pacífico ;https://xadrezverbal.com/2022/04/02/xadrez-verbal-podcast-288-ucrania-eleicoes-e-pacifico/
Xadrez Verbal Podcast #287 – Ucrânia, míssil coreano e Etiópia ;https://xadrezverbal.com/2022/03/26/xadrez-verbal-podcast-287-ucrania-missil-coreano-e-etiopia/
Xadrez Verbal Podcast #286 – Guerra na Ucrânia e giro no Pacífico ;https://xadrezverbal.com/2022/03/19/xadrez-verbal-podcast-286-guerra-na-ucrania-e-giro-no-pacifico/
Xadrez Verbal Podcast #285 – Negociações entre Rússia e Ucrânia e Atila #54 ;https://xadrezverbal.com/2022/03/11/xadrez-verbal-podcast-285-negociacoes-entre-russia-e-ucrania-e-atila-54/
Xadrez Verbal Podcast #284 – State of the Union e Ucrânia ;https://xadrezverbal.com/2022/03/05/xadrez-verbal-podcast-284-state-of-the-union-e-ucrania/
Xadrez Verbal Podcast #283 – Rússia invade a Ucrânia ;https://xadrezverbal.com/2022/02/26/xadrez-verbal-podcast-283-russia-invade-a-ucrania/
Xadrez Verbal Podcast #282 –  Olimpíada de inverno, Ucrânia e Atila #52 ;https://xadrezverbal.com/2022/02/12/xadrez-verbal-podcast-282-olimpiada-de-inverno-ucrania-e-atila-52/
Xadrez Verbal Podcast #281 – Abertura Olímpica, giro pela Europa e Atila #51 ;https://xadrezverbal.com/2022/02/05/xadrez-verbal-podcast-281-abertura-olimpica-giro-pela-europa-e-atila-51/
Xadrez Verbal Podcast #280 – Giro pelo Pacífico, pela Europa e Atila #50 ;https://xadrezverbal.com/2022/01/29/xadrez-verbal-podcast-280-giro-pelo-pacifico-pela-europa-e-atila-50/
Xadrez Verbal Podcast #279 – Início de 2022 e Atila #49 ;https://xadrezverbal.com/2022/01/22/xadrez-verbal-podcast-279-inicio-de-2022-e-atila-49/
Xadrez Verbal Podcast #278 – Final de 2021 e Atila #48 ;https://xadrezverbal.com/2021/12/18/xadrez-verbal-podcast-278-final-de-2021-e-atila-48/
Xadrez Verbal Podcast #277 – Ucrânia, bacia do Pacífico e Atila #47 ;https://xadrezverbal.com/2021/12/11/xadrez-verbal-podcast-277-ucrania-bacia-do-pacifico-e-atila-47/
Xadrez Verbal Podcast #276 – Europa, bacia do Pacífico e Atila #46 ;https://xadrezverbal.com/2021/12/04/xadrez-verbal-podcast-276-europa-bacia-do-pacifico-e-atila-46/
Xadrez Verbal Podcast #275 – COP26 com Natalie Unterstell, América Latina e Atila #45 ;https://xadrezverbal.com/2021/11/20/xadrez-verbal-podcast-275-cop26-com-natalie-unterstell-america-latina-e-atila-45/
Xadrez Verbal Podcast #274 – Giro pelo Pacífico, América Latina e Atila #44 ;https://xadrezverbal.com/2021/11/12/xadrez-verbal-podcast-274-giro-pelo-pacifico-america-latina-e-atila-44/
Xadrez Verbal Podcast #273 – Etiópia, giro pelo G20 e Atila #43 ;https://xadrezverbal.com/2021/11/06/xadrez-verbal-podcast-273-etiopia-giro-pelo-g20-e-atila-43/
Xadrez Verbal Podcast #272 – G20, Europa, golpe no Sudão e Atila #42 ;https://xadrezverbal.com/2021/10/30/xadrez-verbal-podcast-272-g20-europa-golpe-no-sudao-e-atila-42/
Xadrez Verbal Podcast #271 – Tchéquia, cortina de fumaça e Atila #41 ;https://xadrezverbal.com/2021/10/23/xadrez-verbal-podcast-271-tchequia-cortina-de-fumaca-e-atila-41/
